Edad,Sexo,Mayor nivel educativo,Ingreso anual,AÒos de xperiencia laboral,Estado de vivienda,Monto solicitado,Destino de los fondos,Tasa de interÈs,Porcentaje del ingreso,Plazo en aÒos,Puntaje,PrÈstamos previos impagos,Estado
24,FEMENINO,UNIVERSITARIO,83853,3,INQUILINO,27600,VIVIENDA,11.01,0.33,2,690,NO,OTORGADO
21,FEMENINO,UNIVERSITARIO,15394,0,HIPOTECA,3250,DEUDAS,15.68,0.21,3,518,NO,OTORGADO
22,FEMENINO,UNIVERSITARIO,85243,0,INQUILINO,27500,EDUCACION,13.06,0.32,3,583,NO,OTORGADO
22,MASCULINO,TERCIARIO,288907,2,PROPIETARIO,25000,PERSONAL,11.01,0.09,2,617,SI,RECHAZADO
26,MASCULINO,TERCIARIO,89074,4,INQUILINO,27050,EMPRESA,15.62,0.3,2,668,NO,OTORGADO
24,MASCULINO,MAESTRÌA,100509,2,INQUILINO,27000,PERSONAL,13.49,0.27,2,673,NO,OTORGADO
24,MASCULINO,SECUNDARIO,88950,3,INQUILINO,27000,EMPRESA,11.01,0.3,3,706,NO,OTORGADO
23,FEMENINO,SECUNDARIO,75894,1,INQUILINO,26000,SALUD,11.71,0.34,2,536,NO,OTORGADO
23,MASCULINO,TERCIARIO,145092,0,INQUILINO,25600,EDUCACION,12.69,0.18,3,557,SI,RECHAZADO
24,FEMENINO,UNIVERSITARIO,15928,1,PROPIETARIO,1600,SALUD,13.57,0.1,3,689,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,73131,3,INQUILINO,25475,EMPRESA,10.99,0.35,3,681,NO,OTORGADO
25,MASCULINO,MAESTRÌA,281501,4,HIPOTECA,20000,SALUD,14.27,0.07,4,623,SI,RECHAZADO
24,FEMENINO,TERCIARIO,281775,0,PROPIETARIO,20000,VIVIENDA,8.88,0.07,4,595,SI,RECHAZADO
26,MASCULINO,UNIVERSITARIO,281792,1,HIPOTECA,21600,VIVIENDA,12.18,0.08,3,584,SI,RECHAZADO
25,MASCULINO,UNIVERSITARIO,266090,4,HIPOTECA,11900,DEUDAS,14.42,0.04,3,669,NO,OTORGADO
26,MASCULINO,SECUNDARIO,279664,3,HIPOTECA,25000,SALUD,14.17,0.09,2,642,SI,RECHAZADO
25,FEMENINO,SECUNDARIO,277017,4,HIPOTECA,35000,SALUD,13.99,0.13,4,622,SI,RECHAZADO
23,MASCULINO,TERCIARIO,100756,0,INQUILINO,25300,EDUCACION,10.99,0.25,3,689,NO,OTORGADO
22,MASCULINO,SECUNDARIO,16218,1,HIPOTECA,2000,PERSONAL,5.42,0.12,4,614,NO,OTORGADO
25,FEMENINO,UNIVERSITARIO,16211,2,PROPIETARIO,1750,PERSONAL,13.61,0.11,3,597,SI,RECHAZADO
21,FEMENINO,UNIVERSITARIO,51922,3,INQUILINO,25000,EDUCACION,12.73,0.48,3,673,NO,OTORGADO
24,MASCULINO,TERCIARIO,50309,3,INQUILINO,25000,VIVIENDA,11.01,0.5,3,625,NO,OTORGADO
25,MASCULINO,SECUNDARIO,16378,0,PROPIETARIO,3000,DEUDAS,12.87,0.18,4,603,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,16572,0,HIPOTECA,3650,VIVIENDA,9.91,0.22,3,589,NO,OTORGADO
26,MASCULINO,MAESTRÌA,272201,5,HIPOTECA,20000,VIVIENDA,11.49,0.07,4,670,SI,RECHAZADO
25,FEMENINO,UNIVERSITARIO,271324,3,HIPOTECA,30000,VIVIENDA,19.91,0.11,2,637,SI,RECHAZADO
26,MASCULINO,TERCIARIO,256862,2,HIPOTECA,35000,EDUCACION,10.65,0.14,2,643,NO,OTORGADO
24,MASCULINO,SECUNDARIO,271342,0,INQUILINO,6000,SALUD,11.01,0.02,4,508,SI,RECHAZADO
24,MASCULINO,SECUNDARIO,16470,2,HIPOTECA,4500,DEUDAS,11.83,0.27,4,643,NO,OTORGADO
23,MASCULINO,SECUNDARIO,16599,0,PROPIETARIO,2400,DEUDAS,13.49,0.14,2,505,NO,OTORGADO
22,MASCULINO,UNIVERSITARIO,51608,0,INQUILINO,25000,SALUD,14.59,0.48,2,593,NO,OTORGADO
26,FEMENINO,MAESTRÌA,58516,6,INQUILINO,25000,EDUCACION,9.64,0.43,4,686,NO,OTORGADO
25,FEMENINO,TERCIARIO,16395,4,PROPIETARIO,3600,SALUD,14.59,0.22,3,646,NO,OTORGADO
22,FEMENINO,UNIVERSITARIO,16890,0,PROPIETARIO,4750,EDUCACION,11.01,0.28,3,645,NO,OTORGADO
25,FEMENINO,TERCIARIO,51747,3,INQUILINO,25000,EDUCACION,16.35,0.48,3,697,NO,OTORGADO
21,MASCULINO,SECUNDARIO,59864,0,INQUILINO,25000,EDUCACION,10.99,0.42,2,648,NO,OTORGADO
25,MASCULINO,MAESTRÌA,270972,1,HIPOTECA,25000,EMPRESA,18.67,0.09,2,640,SI,RECHAZADO
26,MASCULINO,UNIVERSITARIO,270870,5,INQUILINO,3000,EDUCACION,9.32,0.01,4,681,NO,RECHAZADO
23,FEMENINO,TERCIARIO,270729,0,INQUILINO,7500,DEUDAS,8.63,0.03,2,646,NO,RECHAZADO
26,MASCULINO,UNIVERSITARIO,270877,4,HIPOTECA,25000,EMPRESA,10.08,0.09,2,615,SI,RECHAZADO
22,MASCULINO,TERCIARIO,60501,0,INQUILINO,25000,PERSONAL,11.83,0.41,3,687,NO,OTORGADO
23,MASCULINO,SECUNDARIO,60754,1,INQUILINO,25000,DEUDAS,7.9,0.41,3,650,NO,OTORGADO
25,MASCULINO,UNIVERSITARIO,60829,0,INQUILINO,25000,VIVIENDA,5.99,0.41,2,588,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,53825,2,INQUILINO,25000,DEUDAS,15.33,0.46,2,652,NO,OTORGADO
23,MASCULINO,SECUNDARIO,60801,0,INQUILINO,25000,EMPRESA,11.83,0.41,4,658,NO,OTORGADO
22,MASCULINO,SECUNDARIO,60747,0,INQUILINO,25000,EMPRESA,10.36,0.41,2,634,NO,OTORGADO
22,FEMENINO,SECUNDARIO,61029,0,INQUILINO,25000,EMPRESA,12.23,0.41,3,623,NO,OTORGADO
22,FEMENINO,TERCIARIO,63236,0,INQUILINO,25000,EDUCACION,11.11,0.4,4,635,NO,OTORGADO
23,FEMENINO,UNIVERSITARIO,17149,0,PROPIETARIO,4950,DEUDAS,7.9,0.29,4,531,NO,OTORGADO
24,FEMENINO,MAESTRÌA,265066,4,HIPOTECA,25000,EDUCACION,11.58,0.09,2,665,SI,RECHAZADO
23,MASCULINO,TERCIARIO,260205,2,HIPOTECA,21000,DEUDAS,8.9,0.08,3,703,NO,RECHAZADO
25,FEMENINO,TERCIARIO,260035,5,HIPOTECA,25000,EDUCACION,16.07,0.1,3,585,SI,RECHAZADO
26,FEMENINO,UNIVERSITARIO,260444,4,HIPOTECA,20000,EDUCACION,14.22,0.08,2,594,NO,RECHAZADO
23,MASCULINO,UNIVERSITARIO,258980,0,HIPOTECA,35000,SALUD,14.79,0.14,3,618,SI,RECHAZADO
26,MASCULINO,SECUNDARIO,259081,2,HIPOTECA,12000,EDUCACION,7.88,0.05,2,626,SI,RECHAZADO
23,MASCULINO,SECUNDARIO,63497,0,INQUILINO,25000,PERSONAL,13.22,0.39,2,695,NO,OTORGADO
26,FEMENINO,DOCTORADO,56325,2,INQUILINO,25000,DEUDAS,11.86,0.44,4,690,NO,OTORGADO
22,MASCULINO,UNIVERSITARIO,64842,0,INQUILINO,25000,EDUCACION,13.43,0.39,4,574,NO,OTORGADO
26,FEMENINO,SECUNDARIO,57856,0,INQUILINO,25000,VIVIENDA,15.28,0.43,2,602,NO,OTORGADO
23,MASCULINO,TERCIARIO,57318,0,INQUILINO,25000,EMPRESA,17.93,0.44,2,679,NO,OTORGADO
23,FEMENINO,SECUNDARIO,16916,2,HIPOTECA,1400,EDUCACION,9.25,0.08,4,615,NO,RECHAZADO
21,MASCULINO,MAESTRÌA,16664,0,PROPIETARIO,4500,EMPRESA,12.98,0.27,4,601,NO,OTORGADO
22,MASCULINO,TERCIARIO,252803,0,HIPOTECA,16000,EMPRESA,10.62,0.06,4,577,SI,RECHAZADO
26,FEMENINO,TERCIARIO,253061,3,PROPIETARIO,22000,PERSONAL,11.83,0.09,4,588,SI,RECHAZADO
26,MASCULINO,UNIVERSITARIO,58602,8,INQUILINO,25000,EMPRESA,18.43,0.43,2,595,NO,OTORGADO
22,MASCULINO,SECUNDARIO,67012,2,INQUILINO,25000,EDUCACION,11.01,0.37,4,653,NO,OTORGADO
24,FEMENINO,MAESTRÌA,66643,3,INQUILINO,25000,VIVIENDA,11.01,0.38,4,663,NO,OTORGADO
23,MASCULINO,UNIVERSITARIO,66599,0,INQUILINO,25000,EDUCACION,11.36,0.38,3,653,NO,OTORGADO
23,MASCULINO,TERCIARIO,67212,2,INQUILINO,25000,EDUCACION,15.65,0.37,3,598,NO,OTORGADO
24,FEMENINO,SECUNDARIO,66918,1,INQUILINO,25000,PERSONAL,13.22,0.37,4,630,NO,OTORGADO
26,MASCULINO,TERCIARIO,68066,2,INQUILINO,25000,DEUDAS,12.87,0.37,2,637,NO,OTORGADO
24,MASCULINO,TERCIARIO,245545,1,PROPIETARIO,20000,SALUD,13.04,0.08,3,660,SI,RECHAZADO
23,MASCULINO,TERCIARIO,229083,0,HIPOTECA,22000,EDUCACION,17.58,0.1,3,639,NO,OTORGADO
23,MASCULINO,SECUNDARIO,17859,0,PROPIETARIO,7750,PERSONAL,17.04,0.43,4,626,NO,OTORGADO
24,FEMENINO,TERCIARIO,72608,3,INQUILINO,25000,PERSONAL,10.99,0.34,3,612,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,73073,1,INQUILINO,25000,PERSONAL,11.11,0.34,3,628,NO,OTORGADO
26,FEMENINO,MAESTRÌA,65880,2,INQUILINO,25000,DEUDAS,14.83,0.38,2,592,NO,OTORGADO
23,MASCULINO,SECUNDARIO,17755,1,PROPIETARIO,4000,DEUDAS,11.01,0.23,3,580,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,241180,3,INQUILINO,12000,SALUD,12.69,0.05,2,634,NO,RECHAZADO
24,MASCULINO,TERCIARIO,240894,3,HIPOTECA,12000,VIVIENDA,13.49,0.05,2,678,NO,RECHAZADO
21,MASCULINO,SECUNDARIO,240980,0,HIPOTECA,16000,EDUCACION,14.65,0.07,4,557,SI,RECHAZADO
25,MASCULINO,UNIVERSITARIO,65742,3,INQUILINO,25000,VIVIENDA,16.82,0.38,4,672,NO,OTORGADO
23,MASCULINO,UNIVERSITARIO,72713,0,INQUILINO,25000,PERSONAL,12.73,0.34,3,613,NO,OTORGADO
23,MASCULINO,SECUNDARIO,72627,3,INQUILINO,25000,PERSONAL,10.25,0.34,4,566,NO,OTORGADO
21,MASCULINO,TERCIARIO,72843,0,INQUILINO,25000,EDUCACION,10.99,0.34,4,718,NO,OTORGADO
25,MASCULINO,SECUNDARIO,75504,4,INQUILINO,25000,SALUD,12.73,0.33,2,484,NO,OTORGADO
22,FEMENINO,SECUNDARIO,68824,0,INQUILINO,25000,VIVIENDA,14.96,0.36,3,634,NO,OTORGADO
23,FEMENINO,UNIVERSITARIO,241167,2,HIPOTECA,28000,EDUCACION,11.01,0.12,2,653,SI,RECHAZADO
21,MASCULINO,UNIVERSITARIO,241060,0,HIPOTECA,25000,DEUDAS,13.99,0.1,2,699,NO,RECHAZADO
24,MASCULINO,SECUNDARIO,240855,0,HIPOTECA,24000,EMPRESA,7.49,0.1,4,656,SI,RECHAZADO
26,MASCULINO,SECUNDARIO,241030,3,HIPOTECA,15000,EDUCACION,14.79,0.06,3,626,SI,RECHAZADO
25,MASCULINO,SECUNDARIO,240895,2,HIPOTECA,15500,DEUDAS,11.99,0.06,2,659,NO,RECHAZADO
24,FEMENINO,SECUNDARIO,240932,4,INQUILINO,10000,EDUCACION,8.49,0.04,4,604,SI,RECHAZADO
24,MASCULINO,TERCIARIO,80145,1,INQUILINO,25000,EDUCACION,9.91,0.31,2,636,NO,OTORGADO
22,MASCULINO,MAESTRÌA,80303,0,INQUILINO,25000,EDUCACION,13.06,0.31,3,554,NO,OTORGADO
22,MASCULINO,SECUNDARIO,241048,0,HIPOTECA,9000,DEUDAS,6.17,0.04,4,587,SI,RECHAZADO
144,MASCULINO,TERCIARIO,241424,121,HIPOTECA,6000,EDUCACION,11.86,0.02,2,807,NO,RECHAZADO
25,MASCULINO,UNIVERSITARIO,241005,4,INQUILINO,18000,EDUCACION,16.32,0.07,3,708,SI,RECHAZADO
25,FEMENINO,MAESTRÌA,240768,2,HIPOTECA,12000,EMPRESA,10.38,0.05,2,669,SI,RECHAZADO
25,MASCULINO,TERCIARIO,241201,2,HIPOTECA,23050,PERSONAL,14.35,0.1,3,578,NO,RECHAZADO
24,MASCULINO,UNIVERSITARIO,240920,5,HIPOTECA,20000,DEUDAS,11.01,0.08,3,615,NO,RECHAZADO
24,FEMENINO,MAESTRÌA,72919,1,INQUILINO,25000,DEUDAS,11.01,0.34,2,553,NO,OTORGADO
21,MASCULINO,MAESTRÌA,18008,0,PROPIETARIO,3000,VIVIENDA,11.01,0.17,4,635,NO,OTORGADO
26,FEMENINO,TERCIARIO,81238,3,INQUILINO,25000,PERSONAL,15.21,0.31,2,531,NO,OTORGADO
23,MASCULINO,SECUNDARIO,80868,1,INQUILINO,25000,EDUCACION,7.9,0.31,4,621,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,81537,1,INQUILINO,25000,EMPRESA,10.99,0.31,3,674,NO,OTORGADO
24,FEMENINO,TERCIARIO,82741,0,INQUILINO,25000,PERSONAL,14.09,0.3,3,688,NO,OTORGADO
25,FEMENINO,SECUNDARIO,83901,3,INQUILINO,25000,PERSONAL,17.49,0.3,2,597,NO,OTORGADO
25,MASCULINO,TERCIARIO,240717,1,HIPOTECA,12000,EDUCACION,11.48,0.05,3,640,NO,RECHAZADO
26,FEMENINO,TERCIARIO,226744,0,HIPOTECA,20000,EMPRESA,17.74,0.09,2,621,NO,OTORGADO
26,FEMENINO,UNIVERSITARIO,241114,5,HIPOTECA,3000,PERSONAL,13.92,0.01,3,608,SI,RECHAZADO
25,MASCULINO,UNIVERSITARIO,85284,3,INQUILINO,25000,EDUCACION,15.21,0.29,3,653,NO,OTORGADO
22,FEMENINO,UNIVERSITARIO,18152,0,PROPIETARIO,4000,SALUD,10.99,0.22,3,585,NO,OTORGADO
24,FEMENINO,SECUNDARIO,84871,3,INQUILINO,25000,EDUCACION,11.86,0.29,4,569,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,18294,2,PROPIETARIO,6000,PERSONAL,7.49,0.33,3,587,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,68029,1,INQUILINO,25000,SALUD,16.49,0.37,4,631,NO,OTORGADO
25,FEMENINO,SECUNDARIO,80001,4,INQUILINO,25000,EMPRESA,15.33,0.31,2,592,NO,OTORGADO
26,FEMENINO,SECUNDARIO,79875,6,INQUILINO,25000,VIVIENDA,11.58,0.31,4,679,NO,OTORGADO
25,MASCULINO,SECUNDARIO,18449,1,PROPIETARIO,5375,EDUCACION,5.79,0.29,2,645,NO,OTORGADO
25,MASCULINO,TERCIARIO,88153,0,INQUILINO,25000,SALUD,13.11,0.28,2,669,NO,OTORGADO
23,FEMENINO,UNIVERSITARIO,90109,0,INQUILINO,25000,SALUD,10.36,0.28,3,653,NO,OTORGADO
25,MASCULINO,UNIVERSITARIO,90938,1,INQUILINO,25000,DEUDAS,10.36,0.27,2,577,NO,OTORGADO
24,MASCULINO,SECUNDARIO,231335,0,INQUILINO,22000,SALUD,11.01,0.1,2,668,SI,RECHAZADO
21,MASCULINO,UNIVERSITARIO,231829,0,HIPOTECA,20000,EMPRESA,6.54,0.09,4,629,NO,RECHAZADO
25,FEMENINO,TERCIARIO,230516,4,HIPOTECA,10000,SALUD,12.53,0.04,4,643,NO,RECHAZADO
26,MASCULINO,UNIVERSITARIO,229626,0,HIPOTECA,15000,PERSONAL,11.01,0.07,3,626,NO,RECHAZADO
22,MASCULINO,UNIVERSITARIO,228907,0,HIPOTECA,10000,EMPRESA,11.01,0.04,3,560,SI,RECHAZADO
24,MASCULINO,UNIVERSITARIO,90938,0,INQUILINO,25000,EDUCACION,10.25,0.27,4,648,NO,OTORGADO
22,MASCULINO,TERCIARIO,86284,0,INQUILINO,25000,EDUCACION,15.95,0.29,4,648,NO,OTORGADO
26,MASCULINO,TERCIARIO,228774,3,HIPOTECA,20000,EMPRESA,12.18,0.09,4,669,SI,RECHAZADO
